summary	Translation	Positive	Negative	EmotionRationale
A Texas Republican congressman suggested Monday night that migrant children are able to leave a childrens facility in Texas at any time but don t because they re well cared for	A Texas Republican congressman suggested Monday night that migrant children are able to leave a childrens facility in Texas at any time but don t because they re well cared for	2	-1	 A[0] Texas[0] Republican[0] congressman[0] suggested[0] Monday[0] night[0] that[0] migrant[0] children[0] are[0] able[0] to[0] leave[0] a[0] childrens[0] facility[0] in[0] Texas[0] at[0] any[0] time[0] but[0] don[0] t[0] because[0] they[0] re[0] well[0] cared[1] for[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
A top adviser to North Korean leader Kim Jong Un said that Pyongyang will not engage in the type of talks seen last year when Kim met with US President Donald Trump in Hanoi despite the rapport the two leaders have developed	A top adviser to North Korean leader Kim Jong Un said that Pyongyang will not engage in the type of talks seen last year when Kim met with US President Donald Trump in Hanoi despite the rapport the two leaders have developed	1	-1	 A[0] top[0] adviser[0] to[0] North[0] Korean[0] leader[0] Kim[0] Jong[0] Un[0] said[0] that[0] Pyongyang[0] will[0] not[0] engage[0] in[0] the[0] type[0] of[0] talks[0] seen[0] last[0] year[0] when[0] Kim[0] met[0] with[0] US[0] President[0] Donald[0] Trump[0] in[0] Hanoi[0] despite[0] the[0] rapport[0] the[0] two[0] leaders[0] have[0] developed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A top diplomat in the Obama administration is calling on the US and NATO to push for a ceasefire between Turkey and Russia in Syria saying the battles in Idlib province are resulting in an unprecedented humanitarian crisis Idlib is the worst case scenario we have worried about in Syria since two zero one one  said Robert Ford who served as US ambassador to Syria from two zero one zero to two zero one four during a briefing Thursday on Capitol Hill While Idlib is considered one of the last rebel strongholds the conflict is largely being waged between state actors and the fighting between Turkey and Russia escalating with at least one five Turkish soldiers killed from Russian airstrikes Bloomberg News reported Thursday that Turkish President Recep Tayyip Erdo?an is publicly asking the US for Patriot missiles to counter Russian firepower	A top diplomat in the Obama administration is calling on the US and NATO to push for a ceasefire between Turkey and Russia in Syria saying the battles in Idlib province are resulting in an unprecedented humanitarian crisis Idlib is the worst case scenario we have worried about in Syria since two zero one one  said Robert Ford who served as US ambassador to Syria from two zero one zero to two zero one four during a briefing Thursday on Capitol Hill While Idlib is considered one of the last rebel strongholds the conflict is largely being waged between state actors and the fighting between Turkey and Russia escalating with at least one five Turkish soldiers killed from Russian airstrikes Bloomberg News reported Thursday that Turkish President Recep Tayip Erdo?<br>an is publicly asking the US for Patriot missiles to counter Russian firepower	1	-4	 A[0] top[0] diplomat[0] in[0] the[0] Obama[0] administration[0] is[0] calling[0] on[0] the[0] US[0] and[0] NATO[0] to[0] push[0] for[0] a[0] ceasefire[0] between[0] Turkey[0] and[0] Russia[0] in[0] Syria[0] saying[0] the[0] battles[-1] in[0] Idlib[0] province[0] are[0] resulting[0] in[0] an[0] unprecedented[0] humanitarian[0] crisis[-2] Idlib[0] is[0] the[0] worst[-2] case[0] scenario[0] we[0] have[0] worried[-3] about[0] in[0] Syria[0] since[0] two[0] zero[0] one[0] one[0] said[0] Robert[0] Ford[0] who[0] served[0] as[0] US[0] ambassador[0] to[0] Syria[0] from[0] two[0] zero[0] one[0] zero[0] to[0] two[0] zero[0] one[0] four[0] during[0] a[0] briefing[0] Thursday[0] on[0] Capitol[0] Hill[0] While[0] Idlib[0] is[0] considered[0] one[0] of[0] the[0] last[0] rebel[-1] strongholds[0] the[0] conflict[-1] is[0] largely[0] being[0] waged[0] between[0] state[0] [[Sentence=-4,1=word max, 1-5]] an[0] is[0] publicly[0] asking[0] the[0] US[0] for[0] Patriot[0] missiles[0] to[0] counter[0] Russian[0] firepower[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
A triple threat storm continues to move across the eastern half of the country already producing several tornadoes flooding and power outages Follow along here for live updates	A triple threat storm continues to move across the eastern half of the country already producing several tornadoes flooding and power outages Follow along here for live updates	1	-3	 A[0] triple[0] threat[-2] storm[-1] continues[0] to[0] move[0] across[0] the[0] eastern[0] half[0] of[0] the[0] country[0] already[0] producing[0] several[0] tornadoes[0] flooding[0] and[0] power[0] outages[0] Follow[0] along[0] here[0] for[0] live[0] updates[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
A troupe of elephants and school students held a silent march at a Thai elephant camp on Monday to pay their respects and raise awareness for the millions of animals killed in Australias raging bushfires	A troupe of elephants and school students held a silent march at a Thai elephant camp on Monday to pay their respects and raise awareness for the millions of animals killed in Australias raging bushfires	3	-4	 A[0] troupe[0] of[0] elephants[0] and[0] school[0] students[0] held[0] a[0] silent[0] march[0] at[0] a[0] Thai[0] elephant[0] camp[0] on[0] Monday[0] to[0] pay[0] their[0] respects[2] and[0] raise[0] awareness[0] for[0] the[0] millions[0] of[0] animals[0] killed[-3] in[0] Australias[0] raging[-3] bushfires[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
A trove of internal employee communications shows that the airline giants troubles go beyond one poorly designed plane	A trove of internal employee communications shows that the airline giants troubles go beyond one poorly designed plane	1	-2	 A[0] trove[0] of[0] internal[0] employee[0] communications[0] shows[0] that[0] the[0] airline[0] giants[0] troubles[-1] go[0] beyond[0] one[0] poorly[-1] designed[0] plane[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A Trump administration policy change that goes into effect in April will keep nearly seven zero zero zero zero zero from accessing the Supplemental Nutrition Assistance Program	A Trump administration policy change that goes into effect in April will keep nearly seven zero zero zero zero zero from accessing the Supplemental Nutrition Assistance Program	1	-1	 A[0] Trump[0] administration[0] policy[0] change[0] that[0] goes[0] into[0] effect[0] in[0] April[0] will[0] keep[0] nearly[0] seven[0] zero[0] zero[0] zero[0] zero[0] zero[0] from[0] accessing[0] the[0] Supplemental[0] Nutrition[0] Assistance[0] Program[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A Turkish private jet operator said on Friday that ex Nissan boss Carlos Ghosn used two of its planes illegally in his escape from Japan with an employee falsifying lease records to exclude his name from the documents	A Turkish private jet operator said on Friday that ex Nissan boss Carlos Ghosn used two of its planes illegally in his escape from Japan with an employee falsifying lease records to exclude his name from the documents	1	-2	 A[0] Turkish[0] private[0] jet[0] operator[0] said[0] on[0] Friday[0] that[0] ex[0] Nissan[0] boss[0] Carlos[0] Ghosn[0] used[0] two[0] of[0] its[0] planes[0] illegally[0] in[0] his[0] escape[0] from[0] Japan[0] with[0] an[0] employee[0] falsifying[0] lease[0] records[0] to[0] exclude[-1] his[0] name[0] from[0] the[0] documents[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A UN official says the killing of Iranian terrorist mastermind Gen Qasem Soleimani was a violation of international law	A UN official says the killing of Iranian terrorist mastermind Gen Qasem Soleimani was a violation of international law	1	-3	 A[0] UN[0] official[0] says[0] the[0] killing[-1] of[0] Iranian[0] terrorist[-2] mastermind[0] Gen[0] Qasem[0] Soleimani[0] was[0] a[0] violation[-1] of[0] international[0] law[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
A US judge on Monday rejected Michael Avenattis bid to dismiss two of the three counts in an indictment accusing the celebrity lawyer of trying to extort Nike Inc by threatening to reveal its alleged improper payments to college basketball recruits	A US judge on Monday rejected Michael Avenattis bid to dismiss two of the three counts in an indictment accusing the celebrity lawyer of trying to extort Nike Inc by threatening to reveal its alleged improper payments to college basketball recruits	1	-3	 A[0] US[0] judge[0] on[0] Monday[0] rejected[-1] Michael[0] Avenattis[0] bid[0] to[0] dismiss[-1] two[0] of[0] the[0] three[0] counts[0] in[0] an[0] indictment[-1] accusing[-1] the[0] celebrity[0] lawyer[0] of[0] trying[0] to[0] extort[0] Nike[0] Inc[0] by[0] threatening[-2] to[0] reveal[0] its[0] alleged[-1] improper[-1] payments[0] to[0] college[0] basketball[0] recruits[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
A Ukraine airliner that crashed in Iran killing all one seven six people aboard was likely brought down by an Iranian missile Canadas prime minister Justin Trudeau said on Thursday citing intelligence from Canadian and other sources	A Ukraine airliner that crashed in Iran killing all one seven six people aboard was likely brought down by an Iranian missile Canadas prime minister Justin Trudeau said on Thursday citing intelligence from Canadian and other sources	1	-2	 A[0] Ukraine[0] airliner[0] that[0] crashed[0] in[0] Iran[0] killing[-1] all[0] one[0] seven[0] six[0] people[0] aboard[0] was[0] likely[0] brought[0] down[0] by[0] an[0] Iranian[0] missile[0] Canadas[0] prime[0] minister[0] Justin[0] Trudeau[0] said[0] on[0] Thursday[0] citing[0] intelligence[0] from[0] Canadian[0] and[0] other[0] sources[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A Ukraine airliner that crashed in Iran killing all one seven six people aboard was most likely brought down accidentally by Iranian air defenses US officials said on Thursday and President Donald Trump said he did not believe the crash was due to a mechanical is	A Ukraine airliner that crashed in Iran killing all one seven six people aboard was most likely brought down accidentally by Iranian air defenses US officials said on Thursday and President Donald Trump said he did not believe the crash was due to a mechanical is	1	-2	 A[0] Ukraine[0] airliner[0] that[0] crashed[0] in[0] Iran[0] killing[-1] all[0] one[0] seven[0] six[0] people[0] aboard[0] was[0] most[0] likely[0] brought[0] down[0] accidentally[-1] by[0] Iranian[0] air[0] defenses[0] US[0] officials[0] said[0] on[0] Thursday[0] and[0] President[0] Donald[0] Trump[0] said[0] he[0] did[0] not[0] believe[0] the[0] crash[0] was[0] due[0] to[0] a[0] mechanical[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A Ukraine airliner that crashed in Iran killing all one seven six people aboard was most likely brought down accidentally by Iranian air defenses US officials said on Thursday as President Donald Trump said he had a terrible feeling about the disaster	A Ukraine airliner that crashed in Iran killing all one seven six people aboard was most likely brought down accidentally by Iranian air defenses US officials said on Thursday as President Donald Trump said he had a terrible feeling about the disaster	1	-4	 A[0] Ukraine[0] airliner[0] that[0] crashed[0] in[0] Iran[0] killing[-1] all[0] one[0] seven[0] six[0] people[0] aboard[0] was[0] most[0] likely[0] brought[0] down[0] accidentally[-1] by[0] Iranian[0] air[0] defenses[0] US[0] officials[0] said[0] on[0] Thursday[0] as[0] President[0] Donald[0] Trump[0] said[0] he[0] had[0] a[0] terrible[-3] feeling[0] about[0] the[0] disaster[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
A Ukraine International Airlines plane carrying one seven six passengers and crew crashed shortly after takeoff from Tehran Iran Follow here for the latest	A Ukraine International Airlines plane carrying one seven six passengers and crew crashed shortly after takeoff from Tehran Iran Follow here for the latest	1	-1	 A[0] Ukraine[0] International[0] Airlines[0] plane[0] carrying[0] one[0] seven[0] six[0] passengers[0] and[0] crew[0] crashed[0] shortly[0] after[0] takeoff[0] from[0] Tehran[0] Iran[0] Follow[0] here[0] for[0] the[0] latest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A Ukraine International Airlines plane crashed shortly after taking off from the Iranian capital of Tehran on Wednesday All one seven six people on board the plane were killed	A Ukraine International Airlines plane crashed shortly after taking off from the Iranian capital of Tehran on Wednesday All one seven six people on board the plane were killed	1	-4	 A[0] Ukraine[0] International[0] Airlines[0] plane[0] crashed[0] shortly[0] after[0] taking[0] off[0] from[0] the[0] Iranian[0] capital[0] of[0] Tehran[0] on[0] Wednesday[0] All[0] one[0] seven[0] six[0] people[0] on[0] board[0] the[0] plane[0] were[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
A Ukrainian airliner crashed and burst into flames shortly after take off from Tehran early on Wednesday killing all one seven six people on board	A Ukrainian airliner crashed and burst into flames shortly after take off from Tehran early on Wednesday killing all one seven six people on board	1	-2	 A[0] Ukrainian[0] airliner[0] crashed[0] and[0] burst[0] into[0] flames[0] shortly[0] after[0] take[0] off[0] from[0] Tehran[0] early[0] on[0] Wednesday[0] killing[-1] all[0] one[0] seven[0] six[0] people[0] on[0] board[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A Ukrainian airliner crashed shortly after take off from Tehran early on Wednesday bursting into flames and killing all one seven six people on board	A Ukrainian airliner crashed shortly after take off from Tehran early on Wednesday bursting into flames and killing all one seven six people on board	1	-2	 A[0] Ukrainian[0] airliner[0] crashed[0] shortly[0] after[0] take[0] off[0] from[0] Tehran[0] early[0] on[0] Wednesday[0] bursting[0] into[0] flames[0] and[0] killing[-1] all[0] one[0] seven[0] six[0] people[0] on[0] board[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A Ukrainian airliner crashed shortly after take off from Tehran on Wednesday bursting into flames and killing all one seven six people on board	A Ukrainian airliner crashed shortly after take off from Tehran on Wednesday bursting into flames and killing all one seven six people on board	1	-2	 A[0] Ukrainian[0] airliner[0] crashed[0] shortly[0] after[0] take[0] off[0] from[0] Tehran[0] on[0] Wednesday[0] bursting[0] into[0] flames[0] and[0] killing[-1] all[0] one[0] seven[0] six[0] people[0] on[0] board[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A Ukrainian airliner crashed shortly after take off from Tehran on Wednesday bursting into flames and killing all one seven six people on board	A Ukrainian airliner crashed shortly after take off from Tehran on Wednesday bursting into flames and killing all one seven six people on board	1	-2	 A[0] Ukrainian[0] airliner[0] crashed[0] shortly[0] after[0] take[0] off[0] from[0] Tehran[0] on[0] Wednesday[0] bursting[0] into[0] flames[0] and[0] killing[-1] all[0] one[0] seven[0] six[0] people[0] on[0] board[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A Ukrainian airliner that crashed in Iran killing all one seven six people aboard was likely brought down by an Iranian missile Canadas prime minister Justin Trudeau said on Thursday citing intelligence from Canadian and other sources	A Ukrainian airliner that crashed in Iran killing all one seven six people aboard was likely brought down by an Iranian missile Canadas prime minister Justin Trudeau said on Thursday citing intelligence from Canadian and other sources	1	-2	 A[0] Ukrainian[0] airliner[0] that[0] crashed[0] in[0] Iran[0] killing[-1] all[0] one[0] seven[0] six[0] people[0] aboard[0] was[0] likely[0] brought[0] down[0] by[0] an[0] Iranian[0] missile[0] Canadas[0] prime[0] minister[0] Justin[0] Trudeau[0] said[0] on[0] Thursday[0] citing[0] intelligence[0] from[0] Canadian[0] and[0] other[0] sources[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A Ukrainian airplane carrying one eight zero people including both passengers and crew crashed Wednesday morning shortly after takeoff near the airport in the capital city of Tehran according to Iranian state run television	A Ukrainian airplane carrying one eight zero people including both passengers and crew crashed Wednesday morning shortly after takeoff near the airport in the capital city of Tehran according to Iranian state run television	1	-1	 A[0] Ukrainian[0] airplane[0] carrying[0] one[0] eight[0] zero[0] people[0] including[0] both[0] passengers[0] and[0] crew[0] crashed[0] Wednesday[0] morning[0] shortly[0] after[0] takeoff[0] near[0] the[0] airport[0] in[0] the[0] capital[0] city[0] of[0] Tehran[0] according[0] to[0] Iranian[0] state[0] run[0] television[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A Ukrainian jetliner that crashed shortly after takeoff in Iran was on fire before it plunged to the ground an initial report said Thursday	A Ukrainian jetliner that crashed shortly after takeoff in Iran was on fire before it plunged to the ground an initial report said Thursday	1	-1	 A[0] Ukrainian[0] jetliner[0] that[0] crashed[0] shortly[0] after[0] takeoff[0] in[0] Iran[0] was[0] on[0] fire[0] before[0] it[0] plunged[0] to[0] the[0] ground[0] an[0] initial[0] report[0] said[0] Thursday[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A Ukrainian plane has crashed in Iran with one eight zero people on board according to local media	A Ukrainian plane has crashed in Iran with one eight zero people on board according to local media	1	-1	 A[0] Ukrainian[0] plane[0] has[0] crashed[0] in[0] Iran[0] with[0] one[0] eight[0] zero[0] people[0] on[0] board[0] according[0] to[0] local[0] media[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A UN expert warns of a future where the wealthy pay to escape while the rest suffer	A UN expert warns of a future where the wealthy pay to escape while the rest suffer	1	-4	 A[0] UN[0] expert[0] warns[0] of[0] a[0] future[0] where[0] the[0] wealthy[0] pay[0] to[0] escape[0] while[0] the[0] rest[0] suffer[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
A United States air strike targeted an Iraqi militia late on Friday on Taji road north of Baghdad state TV said It did not name the militia or provide further details	A United States air strike targeted an Iraqi militia late on Friday on Taji road north of Baghdad state TV said It did not name the militia or provide further details	1	-2	 A[0] United[0] States[0] air[0] strike[-1] targeted[0] an[0] Iraqi[0] militia[0] late[0] on[0] Friday[0] on[0] Taji[0] road[0] north[0] of[0] Baghdad[0] state[0] TV[0] said[0] It[0] did[0] not[0] name[0] the[0] militia[0] or[0] provide[0] further[0] details[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A user reported his new Xiaomi security camera was showing still images from strangers homes when he tried to stream from the camera to a Google Nest Hub	A user reported his new Xiaomi security camera was showing still images from strangers homes when he tried to stream from the camera to a Google Nest Hub	2	-1	 A[0] user[0] reported[0] his[0] new[0] Xiaomi[0] security[1] camera[0] was[0] showing[0] still[0] images[0] from[0] strangers[0] homes[0] when[0] he[0] tried[0] to[0] stream[0] from[0] the[0] camera[0] to[0] a[0] Google[0] Nest[0] Hub[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
A Utah woman who was reported missing while on a work trip in Florida was found dead her family confirmed on social media	A Utah woman who was reported missing while on a work trip in Florida was found dead her family confirmed on social media	1	-3	 A[0] Utah[0] woman[0] who[0] was[0] reported[0] missing[0] while[0] on[0] a[0] work[0] trip[0] in[0] Florida[0] was[0] found[0] dead[-2] her[0] family[0] confirmed[0] on[0] social[0] media[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
A veteran elementary teacher from Florida has been arrested for allegedly kicking a six year old student with special needs during a lunchtime incident leaving the child with bruises on his body Holly Eicher six two has been charged with child abuse without great bodily harm stemming from her confrontation with a student at Spirit Elementary School in Deltona on Valentines Day According to a charging affidavit cited by The Daytona Beach News Journal the boys parents contacted Volusia County Sheriffs Officer after noticing slight bruises and abrasions on their sons shoulders while giving him a bath on Friday evening	A veteran elementary teacher from Florida has been arrested for allegedly kicking a six year old student with special needs during a lunchtime incident leaving the child with bruises on his body Holly Eicher six two has been charged with child abuse without great bodily harm stemming from her confrontation with a student at Spirit Elementary School in Deltona on Valentines Day According to a charging affidavit cited by The Daytona Beach News Journal the boys parents contacted Volusia County Sheriffs Officer after noticing slight bruises and abrasions on their sons shoulders while giving him a bath on Friday evening	3	-4	 A[0] veteran[0] elementary[0] teacher[0] from[0] Florida[0] has[0] been[0] arrested[0] for[0] allegedly[-1] kicking[-1] a[0] six[0] year[0] old[0] student[0] with[0] special[1] needs[0] during[0] a[0] lunchtime[0] incident[0] leaving[0] the[0] child[0] with[0] bruises[-1] on[0] his[0] body[0] Holly[0] Eicher[0] six[0] two[0] has[0] been[0] charged[-1] with[0] child[0] abuse[-3] without[0] great[2] bodily[0] harm[-2] stemming[0] from[0] her[0] confrontation[-2] with[0] a[0] student[0] at[0] Spirit[0] Elementary[0] School[0] in[0] Deltona[0] on[0] Valentines[0] Day[0] According[0] to[0] a[0] charging[0] affidavit[0] cited[0] by[0] The[0] Daytona[0] Beach[0] News[0] Journal[0] the[0] boys[0] parents[0] contacted[0] Volusia[0] County[0] Sheriffs[0] Officer[0] after[0] noticing[0] slight[0] bruises[-1] and[0] abrasions[0] on[0] their[0] sons[0] shoulders[0] while[0] giving[0] him[0] a[0] bath[0] on[0] Friday[0] evening[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
A video circulating on Twitter shows US military forces in Syria running a Russian military vehicle off the road The footage appears to be from inside of a civilian vehicle The driver is riding alongside a convoy of military vehicles primarily flying Russian flags At the head of the line are a pair of American vehicles an M ATV mine resistant vehicle sometimes called an MRAP and an MRAP truck The driver of the civilian vehicle cuts into the convoy line behind the American vehicles presumably to allow oncoming traffic to pass in the left lane When the driver pulls back out to continue trying to pass the convoy the camera reveals what The Drive reports is a Russian four xfour Tigr truck trying to pass the American vehicles on their right 	A video circulating on Twitter shows US military forces in Syria running a Russian military vehicle off the road The footage appears to be from inside of a civilian vehicle The driver is riding alongside a convoy of military vehicles primarily flying Russian flags At the head of the line are a pair of American vehicles an M ATV mine resistant vehicle sometimes called an MRAP and an MRAP truck The driver of the civilian vehicle cuts into the convoy line behind the American vehicles presumably to allow oncoming traffic to pass in the left lane When the driver pulls back out to continue trying to pass the convoy the camera reveals what The Drive reports is a Russian four xfour Tigr truck trying to pass the American vehicles on their right	1	-1	 A[0] video[0] circulating[0] on[0] Twitter[0] shows[0] US[0] military[0] forces[0] in[0] Syria[0] running[0] a[0] Russian[0] military[0] vehicle[0] off[0] the[0] road[0] The[0] footage[0] appears[0] to[0] be[0] from[0] inside[0] of[0] a[0] civilian[0] vehicle[0] The[0] driver[0] is[0] riding[0] alongside[0] a[0] convoy[0] of[0] military[0] vehicles[0] primarily[0] flying[0] Russian[0] flags[0] At[0] the[0] head[0] of[0] the[0] line[0] are[0] a[0] pair[0] of[0] American[0] vehicles[0] an[0] M[0] ATV[0] mine[0] resistant[0] vehicle[0] sometimes[0] called[0] an[0] MRAP[0] and[0] an[0] MRAP[0] truck[0] The[0] driver[0] of[0] the[0] civilian[0] vehicle[0] cuts[0] into[0] the[0] convoy[0] line[0] behind[0] the[0] American[0] vehicles[0] presumably[0] to[0] allow[0] oncoming[0] traffic[0] to[0] pass[0] in[0] the[0] left[0] lane[0] When[0] the[0] driver[0] pulls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A weather change eased fire threats in southeastern Australia on Sunday after a horror day of blazes that killed one man and injured four firefighters though authorities said risks remained with a number of fires burning at emergency levels	A weather change eased fire threats in southeastern Australia on Sunday after a horror day of blazes that killed one man and injured four firefighters though authorities said risks remained with a number of fires burning at emergency levels	1	-4	 A[0] weather[0] change[0] eased[0] fire[0] threats[-2] in[0] southeastern[0] Australia[0] on[0] Sunday[0] after[0] a[0] horror[-3] day[0] of[0] blazes[0] that[0] killed[-3] one[0] man[0] and[0] injured[0] four[0] firefighters[0] though[0] authorities[0] said[0] risks[-1] remained[0] with[0] a[0] number[0] of[0] fires[0] burning[-1] at[0] emergency[-1] levels[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
A week after the US killed Irans second most powerful official spiking tensions in the region and triggering fears of war the Trump administration continues to present conflicting justifications for the deadly Reaper drone strike and clashing narratives ab	A week after the US killed Irans second most powerful official spiking tensions in the region and triggering fears of war the Trump administration continues to present conflicting justifications for the deadly Reaper drone strike and clashing narratives ab	1	-4	 A[0] week[0] after[0] the[0] US[0] killed[-3] Irans[0] second[0] most[0] powerful[0] official[0] spiking[0] tensions[-2] in[0] the[0] region[0] and[0] triggering[0] fears[-2] of[0] war[-2] the[0] Trump[0] administration[0] continues[0] to[0] present[0] conflicting[-1] justifications[0] for[0] the[0] deadly[-1] Reaper[0] drone[0] strike[-1] and[0] clashing[0] narratives[0] ab[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
A wild card defeat stifled New Englands pursuit of a record breaking seven th Super Bowl title Did it also spell the end of the Belichick Brady era?	A wild card defeat stifled New Englands pursuit of a record breaking seven th Super Bowl title Did it also spell the end of the Belichick Brady era?	3	-2	 A[0] wild[0] card[0] defeat[0] stifled[-1] New[0] Englands[0] pursuit[0] of[0] a[0] record[0] breaking[0] seven[0] th[0] Super[2] Bowl[0] title[0] Did[0] it[0] also[0] spell[0] the[0] end[0] of[0] the[0] Belichick[0] Brady[0] era[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
A winter storm is blanketing parts of the US causing snowfall in Texas and thousands of flights to be canceled at Chicagos airports	A winter storm is blanketing parts of the US causing snowfall in Texas and thousands of flights to be canceled at Chicagos airports	1	-2	 A[0] winter[0] storm[-1] is[0] blanketing[0] parts[0] of[0] the[0] US[0] causing[0] snowfall[0] in[0] Texas[0] and[0] thousands[0] of[0] flights[0] to[0] be[0] canceled[-1] at[0] Chicagos[0] airports[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A woman found out she was pregnant and turned to her boyfriend for help but instead he turned and walked out the door	A woman found out she was pregnant and turned to her boyfriend for help but instead he turned and walked out the door	1	-1	 A[0] woman[0] found[0] out[0] she[0] was[0] pregnant[0] and[0] turned[0] to[0] her[0] boyfriend[0] for[0] help[0] but[0] instead[0] he[0] turned[0] and[0] walked[0] out[0] the[0] door[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A woman has been arrested after two Royal Air Force RAF jets were forced to escort a passenger plane back to London following severe disruption on board shortly after take off	A woman has been arrested after two Royal Air Force RAF jets were forced to escort a passenger plane back to London following severe disruption on board shortly after take off	1	-2	 A[0] woman[0] has[0] been[0] arrested[0] after[0] two[0] Royal[0] Air[0] Force[-1] RAF[0] jets[0] were[0] forced[0] to[0] escort[0] a[0] passenger[0] plane[0] back[0] to[0] London[0] following[0] severe[-1] disruption[-1] on[0] board[0] shortly[0] after[0] take[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
A woman was found dead and three children injured early Saturday morning after a man entered their home and stabbed them Cleveland police said	A woman was found dead and three children injured early Saturday morning after a man entered their home and stabbed them Cleveland police said	1	-3	 A[0] woman[0] was[0] found[0] dead[-2] and[0] three[0] children[0] injured[0] early[0] Saturday[0] morning[0] after[0] a[0] man[0] entered[0] their[0] home[0] and[0] stabbed[-1] them[0] Cleveland[0] police[0] said[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
A woman who recently flew Air Canada claims she was forced to find her own way off the plane after waking up from her flight to a dark empty aircraft	A woman who recently flew Air Canada claims she was forced to find her own way off the plane after waking up from her flight to a dark empty aircraft	1	-1	 A[0] woman[0] who[0] recently[0] flew[0] Air[0] Canada[0] claims[0] she[0] was[0] forced[0] to[0] find[0] her[0] own[0] way[0] off[0] the[0] plane[0] after[0] waking[0] up[0] from[0] her[0] flight[0] to[0] a[0] dark[0] empty[0] aircraft[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A wooden monument mocking President Donald Trump in his wifes homeland of Slovenia was set ablaze on Thursday	A wooden monument mocking President Donald Trump in his wifes homeland of Slovenia was set ablaze on Thursday	1	-3	 A[0] wooden[0] monument[0] mocking[-2] President[0] Donald[0] Trump[0] in[0] his[0] wifes[0] homeland[0] of[0] Slovenia[0] was[0] set[0] ablaze[0] on[0] Thursday[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
At best Ill get fit rediscover a long lost hobby and do my bit to tackle the growing climate crisis At worst Ill end up with a broken leg and a wardrobe full of Lycra says Will Kirby	At best Ill get fit rediscover a long lost hobby and do my bit to tackle the growing climate crisis At worst Ill end up with a broken leg and a wardrobe full of Lycra says Will Kirby	2	-3	 At[0] best[1] Ill[-1] get[0] fit[0] rediscover[0] a[0] long[0] lost[0] hobby[0] and[0] do[0] my[0] bit[0] to[0] tackle[0] the[0] growing[0] climate[0] crisis[-2] At[0] worst[-2] Ill[-1] end[0] up[0] with[0] a[0] broken[-1] leg[0] and[0] a[0] wardrobe[0] full[0] of[0] Lycra[0] says[0] Will[0] Kirby[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
