,,,,,,,,,,Sentiment Scores,,,,
BBC News,BBC News,Queen and Prince Harry to hold face-to-face talks,Senior royals will meet at Sandringham on Monday to discuss Prince Harry and Meghans future,Liberal,-1,,,,,,,,,
BBC News,BBC Sport,Serena Williams wins Auckland Classic for first title in three years,Serena Williams claims her first title in three years and first since becoming a mother with victory over Jessica Pegula at the Auckland Classic,Liberal,-1,,,,,,,,,
BBC News,BBC News,Joss Stone 'deported from Iran' on last tour stop,She says the authorities did not believe she would not be performing a solo public concert,Liberal,-1,,,,,,,,,
BBC News,BBC News,'It was coming towards us like a monster',Skies have reddened and darkened in areas of south eastern Australia as wind gusts exacerbated fires already burning in the area,Liberal,-2,,,,,,,,,
BBC News,BBC News,Johnson no-show scuppers TV debate,Sky News says Tuesdays event will not go ahead unless Boris Johnson accepts its invitation,Liberal,-1,,,,,,,,,
BBC News,BBC News,Residents evacuate as Philippine volcano spews ash,Some eight zero zero zero people are ordered to leave their homes after the Taal volcano spews a giant cloud of ash,Liberal,-2,,,,,,,,,
BBC News,BBC News,Deceived women win GirlsDoPorn legal battle,Some models were driven to the verge of suicide after the porn website reneged on privacy promises,Liberal,-4,,,,,,,,,
BBC News,BBC News,Ugly Betty creator Silvio Horta dies aged 45,Star actress America Ferrera leads the tributes saying she is stunned and heartbroken ,Liberal,-4,,,,,,,,,
BBC News,BBC News,Kim Jong-un receives 'excellent' letter from Trump,State media says the North Korean leader will seriously contemplate the interesting content ,Liberal,-1,,,,,,,,,
BBC News,BBC News,'It reminded me of War of the Worlds',Swarms of drone s have been flying over homes across several US states at night and police don t know why,Liberal,-1,,,,,,,,,
BBC News,BBC News,Death of a peacemaker,Syrian Kurdish leader Hevrin Khalaf was executed by a Syrian army faction BBC Arabic reports,Liberal,-2,,,,,,,,,
BBC News,BBC News,CES chief defends invite for Ivanka Trump,Tech expo organiser says the US Presidents daughter has done great work on jobs related issues,Liberal,-1,,,,,,,,,
BBC News,BBC News,Iran vows 'severe revenge' for top general's death,Tehran says the US attack on Qasem Soleimani in Baghdad was an act of international terrorism ,Liberal,-3,,,,,,,,,
BBC News,BBC News,"'If Korea can have a military parade, why can't we?'",The annual four July celebrations will be a bit different this year What do Americans make of it?,Liberal,-1,,,,,,,,,
BBC News,BBC News,Islamic State welcomes killing of Soleimani,The assassination of the Iranian general is expected to help the group recover from its recent defeat,Liberal,-3,,,,,,,,,
BBC News,BBC News,"'Aliens exist and could be on Earth', says astronaut",The astronaut the first Briton in space says there must be all sorts of life in the universe,Liberal,-1,,,,,,,,,
BBC News,BBC News,Ethiopia army chief shot amid unrest,The attack on Seare Mekonnen followed an attempted coup in the northern Amhara region,Liberal,-3,,,,,,,,,
BBC News,BBC News,Counter-terror probe into Paris knife attack,The attacker identified only as Nathan C killed one person and wounded two others,Liberal,-4,,,,,,,,,
BBC News,BBC News,US announces countrywide ban on flavoured e-cigs,The ban applies to mint and fruit flavours offered in cartridge based form,Liberal,-1,,,,,,,,,
BBC News,BBC News,'Ghostly feel' in Kangaroo Valley,The BBCs Phil Mercer reports from Kangaroo Valley in New South Wales where fires are still smouldering,Liberal,-1,,,,,,,,,
BBC News,BBC News,Thousands flock to mourn Soleimani in Iran,The body of Qasem Soleimani a top Iranian general assassinated by the US has been brought back to Iran,Liberal,-3,,,,,,,,,
BBC News,BBC News,Students killed in Burkina Faso bus blast,The bus which was carrying students back to university reportedly drove over a bomb,Liberal,-2,,,,,,,,,
BBC News,BBC News,SpaceX sends more Starlink satellites into orbit,The California companys latest mission makes it the worlds largest commercial satellite operator,Liberal,-1,,,,,,,,,
BBC News,BBC News,Oscars 2020: Joker leads field with 11 nominations,The comic book origin story is up for best film best director and best actor for Joaquin Phoenix,Liberal,-1,,,,,,,,,
BBC News,BBC News,Daughter of Soleimani warns US of 'dark day',The comments come as the funeral for the slain Iranian military commander begins in Tehran,Liberal,-1,,,,,,,,,
BBC News,BBC News,Facebook to ban 'deepfakes',The company says it will remove videos that are generated by artificial intelligence,Liberal,-1,,,,,,,,,
BBC News,BBC News,Taiwan's Tsai in race for second presidential term,The contest between President Tsai and everyman Han Kuo yu will shape Taiwan China relations,Liberal,-1,,,,,,,,,
BBC News,BBC News,How the world has responded to Australia's fires,The crisis has reverberated globally with celebrities and ordinary citizens trying to help,Liberal,-3,,,,,,,,,
BBC News,BBC News,US denies it is pulling troops out of Iraq,The denial comes after a letter from a key US military chief suggested its forces were leaving,Liberal,-2,,,,,,,,,
BBC News,BBC News,Six Germans killed in Alps by 'drunk driver',The driver of the car involved a man in his late two zero s was arrested and is currently in hospital,Liberal,-1,,,,,,,,,
BBC News,BBC News,William and Kate offer prize to 'repair the Earth',The Duke and Duchess of Cambridge unveil a global prize to tackle climate issues in the next decade,Liberal,-1,,,,,,,,,
BBC News,BBC News,Would Canadians welcome Harry and Meghan?,The Duke and Duchess of Sussex say they ll be splitting their time between the UK and North America,Liberal,-1,,,,,,,,,
BBC News,BBC News,Harry and Meghan to step back as senior royals,The Duke and Duchess of Sussex say they plan to divide their time between the UK and North America,Liberal,-1,,,,,,,,,
BBC News,BBC News,Full UK trade deal 'impossible' by 2020 - EU chief,The EU Commission president says the sides will have to prioritise areas to agree on by the end of two zero two zero ,Liberal,-1,,,,,,,,,
BBC News,BBC News,'Arrests in Turkey' amid Ghosn escape inquiry,The ex Nissan boss fled trial in Japan on a jet said to have landed in Istanbul en route to Lebanon,Liberal,-2,,,,,,,,,
BBC News,BBC News,Dad of UK's worst rapist: He got what he deserved,The father of Reynhard Sinaga says his sons life sentence for one five nine sexual offences fits his crimes ,Liberal,-2,,,,,,,,,
BBC News,BBC News,Nasa Moon rocket core leaves for testing,The first core stage for Nasas mega rocket the SLS has left its factory in New Orleans,Liberal,-1,,,,,,,,,
BBC News,BBC News,Travelex being held to ransom by hackers,The foreign exchange firm has been forced to turn off all computers and switch to pen and paper,Liberal,-2,,,,,,,,,
BBC News,BBC News,UK ambassador to Iran arrested during protests,The Foreign Office condemns his arrest as a flagrant violation of international law ,Liberal,-2,,,,,,,,,
BBC News,BBC News,Bolton prepared to testify in Trump impeachment,The former national security adviser would be the most senior ex aide to the president to testify,Liberal,-1,,,,,,,,,
BBC News,BBC News,Carlos Ghosn holds news conference,The former Nissan boss is making his first appearance since skipping bail in Japan and fleeing to Lebanon,Liberal,-2,,,,,,,,,
BBC News,BBC News,Ghosn: Decision to flee was hardest of my life,The fugitive ex car boss said his treatment in Japan was against international standards of justice,Liberal,-2,,,,,,,,,
BBC News,BBC News,Ikea to pay $46m after child killed by drawers,The furniture giant reached the settlement after a two year old was crushed by falling drawers,Liberal,-1,,,,,,,,,
BBC News,BBC News,Missing YouTuber Etika's body found,The gamer who went missing last week had uploaded a video describing suicidal thoughts,Liberal,-1,,,,,,,,,
BBC News,BBC News,Blasts hit Baghdad area as Iraqis mourn Soleimani,The Green Zone comes under fire after a funeral procession for an Iranian general killed by the US,Liberal,-4,,,,,,,,,
BBC News,BBC News,Australian children rescued from Syria IS camp,The group include orphans of notorious Australian militant Khaled Sharrouf,Liberal,-2,,,,,,,,,
BBC News,BBC News,Canada business chief lashes Trump over Iran crash,The head of Maple Leaf Foods suggests a narcissist in Washington ultimately caused the air tragedy,Liberal,-3,,,,,,,,,
BBC News,BBC News,Extradition request made to US over Harry Dunn death,The Home Office requests Anne Sacoolass extradition on charges of causing death by dangerous driving ,Liberal,-3,,,,,,,,,
BBC News,BBC News,US House to vote on limiting Trump war powers,The House Speaker says Mr Trump has not made the US safer after an air strike on an Iranian general,Liberal,-2,,,,,,,,,
BBC News,BBC News,"Alex Jones must pay $100,000 in Sandy Hook case",The Infowars founder has been sued by the father of a child killed in the two zero one two US school shooting,Liberal,-4,,,,,,,,,
BBC News,BBC News,Germany shooting: Investigation into 'deeply racist' gunman's links,The investigation into a deadly gun attack in Hanau is focusing on whether others knew about or helped organise it Germanys federal prosecutor says The suspect shot dead nine people of migrant background at two shisha bars on Wednesday evening He and his mother were later found dead in his flat Peter Frank said material the suspect Tobias R had posted online showed a deeply racist mindset He had also been influenced by conspiracy theories Mr Frank said Earlier Chancellor Angela Merkel said there were many signs Tobias R four three had acted out of racism,Liberal,-3,,,,,,,,,
BBC News,BBC News,Trump says US killed 'a monster' in Soleimani,The Iranian general who was buried on Tuesday had been planning a big attack the president says,Liberal,-3,,,,,,,,,
BBC News,BBC News,Epstein jail CCTV erased by 'technical errors',The jail mistakenly saved surveillance footage from the wrong cell block prosecutors say,Liberal,-2,,,,,,,,,
BBC News,BBC News,Death penalty for ex-Pakistan leader thrown out,The Lahore High Court says the process which found Pervez Musharraf guilty was unconstitutional ,Liberal,-4,,,,,,,,,
BBC News,BBC News,Hunt: Next PM must be trustworthy,The leadership hopeful says personality is key to delivering a better Brexit deal than Theresa May s,Liberal,-1,,,,,,,,,
BBC News,BBC News,US lawmaker Justin Amash quits Republican Party,The Michigan congressman will sit as an independent after growing disenchanted with party politics,Liberal,-1,,,,,,,,,
BBC News,BBC News,US Army bans TikTok on work mobile phones,The move comes after the Chinese owned app sparked US national security concerns,Liberal,-2,,,,,,,,,
BBC News,BBC News,'Greatest day' in Australian women's sport,The nation woke up on Monday to an extraordinary succession of achievements causing much local joy,Liberal,-1,,,,,,,,,
BBC News,BBC News,Who are the victims of Iran plane crash?,The one seven six people killed in Wednesdays crash are being identified by officials and loved one s,Liberal,-4,,,,,,,,,
BBC News,BBC News,Thailand cave rescue anniversary,The one two boys their coach and rescuers attended ceremonies to mark one year since they went missing in Chang Rai,Liberal,-1,,,,,,,,,
BBC News,BBC News,Species-saving tortoise returns to Gal√°pagos,The one zero zero year old tortoise of legendary libido is credited with saving his species from extinction,Liberal,-1,,,,,,,,,
BBC News,BBC News,Where do Prince Harry and Meghan get their money?,The pair say they will become members of the Royal Family with financial independence ,Liberal,-1,,,,,,,,,
BBC News,BBC News,Trump and Bloomberg to air duelling Super Bowl ads,The president and his would be challenger splurge two zero m on a coveted spot during the NFL final,Liberal,-2,,,,,,,,,
BBC News,BBC News,CES 2020: First look at tomorrow's freshest tech,The products set to cause the biggest stir at this years giant tech expo in Las Vegas,Liberal,-1,,,,,,,,,
BBC News,BBC News,Royals gather for talks over Sussexes' future,The Queen is holding talks at Sandringham later to try to map out a future path for Prince Harry and Meghan,Liberal,-1,,,,,,,,,
BBC News,BBC News,Iraqi MPs back plan to expel US troops,The resolution calls for foreign troops to leave the country after an Iranian generals assassination,Liberal,-3,,,,,,,,,
BBC News,BBC News,Iran summons UK ambassador in tanker row,The seizure of an Iranian oil tanker off the coast of Gibraltar was illegal says Iran,Liberal,-2,,,,,,,,,
BBC News,BBC News,Sultan Qaboos of Oman dies aged 79,The sultan deposed his father in a bloodless coup in one nine seven zero and then set Oman on a path to development,Liberal,-2,,,,,,,,,
BBC News,BBC News,Naomi Campbell: 'Diversity is not a trend',The supermodel tells the BBC it is still a big deal to see a woman of colour on a magazine cover,Liberal,-1,,,,,,,,,
BBC News,BBC News,Retired Pope warns against celibacy change,The surprise appeal comes as Pope Francis considers an easing of the rule banning married priests,Liberal,-1,,,,,,,,,
BBC News,BBC News,Harry and Meghan talks 'progressing well',The Sussexes hope talks over their future can be concluded soone r rather than later reports say,Liberal,-1,,,,,,,,,
BBC News,BBC News,Migrant children back at 'horrific' border station,The Texas facility reportedly made changes to alleviate its overcrowding in order to house the children,Liberal,-1,,,,,,,,,
BBC News,BBC News,California shaken by 6.4 magnitude quake,The tremor struck one five zero miles two four zero km northeast of Los Angeles and was felt from desert to coast,Liberal,-2,,,,,,,,,
BBC News,BBC News,"Michael Jackson accusers can sue, court rules",The two men allege they were abused by the singer when they were children,Liberal,-4,,,,,,,,,
BBC News,BBC News,Suspect admits Japan care home mass killings,The two zero one six knife attack stunned a country where violent crime is extremely rare,Liberal,-3,,,,,,,,,
BBC News,BBC News,Captured IS thousands 'must be tried or freed',The UN also urges countries to take responsibility for citizens being held in Iraq or Syria,Liberal,-1,,,,,,,,,
BBC News,BBC News,Trump under fire for threat to Iran cultural sites,The UN says both the US and Iran have signed conventions protecting cultural heritage,Liberal,-1,,,,,,,,,
BBC News,BBC News,What clues point to a missile strike?,The US and Canada believe it could have been a missile but Iran denies it,Liberal,-1,,,,,,,,,
BBC News,BBC News,Trump's birthday wishes to Kim 'not enough',The US must fully accept North Koreas demands so nuclear discussions can restart an official says,Liberal,-1,,,,,,,,,
BBC News,BBC News,Russian and US warships almost collide,The US Navy released footage of a Russian navy ship approaching the USS Farragut in the Arabian Sea,Liberal,-1,,,,,,,,,
BBC News,BBC News,Iran 'standing down' after missile strikes - Trump,The US president said no Americans were harmed after Iran targeted bases housing US forces in Iraq,Liberal,-3,,,,,,,,,
BBC News,BBC News,Trump sets date for signing US-China 'deal',The US president says he will sign a limited agreement with China on one five January,Liberal,-1,,,,,,,,,
BBC News,BBC News,Ethiopia PM shrugs off Trump's Nobel complaint,The US president suggested he had been overlooked for the prize for his own efforts on Ethiopia,Liberal,-2,,,,,,,,,
BBC News,BBC News,Trump lashes out at 'ignorant and insulting' Iran,The US president tweeted after Irans president responded to the new sanctions unveiled on Monday,Liberal,-1,,,,,,,,,
BBC News,BBC News,What does the law say about Soleimani's assassination?,The US says it acted to prevent future Iranian attacks but what are the legal grounds for this?,Liberal,-3,,,,,,,,,
BBC News,BBC News,"Harry Dunn extradition bid 'inappropriate', says US",The US State Department says it would be an abuse to send suspect Anne Sacoolas back to the UK,Liberal,-4,,,,,,,,,
BBC News,BBC News,US 'ready for serious negotiations' with Iran,The US tells the UN it is open to talks to avoid more escalation after the exchange of hostilities,Liberal,-3,,,,,,,,,
BBC News,BBC News,TV host Ricki Lake reveals hair loss 'hell',The US TV star posts photos of her new buzz cut after struggling with hair loss for almost three zero years,Liberal,-3,,,,,,,,,
BBC News,BBC News,Do Americans feel safer after Soleimani attack?,The US vice president says Americans are safer today do US tourists near the White House agree?,Liberal,-2,,,,,,,,,
BBC News,BBC News,Sandwich poisoning victim dies after years in coma,The young German man was targeted by a work colleague who peppered his lunch with mercury and lead,Liberal,-2,,,,,,,,,
BBC News,BBC News,Iran's leaders face pressure over downed plane,There are calls for senior officials to be dismissed after a passenger jet was mistakenly shot down,Liberal,-2,,,,,,,,,
BBC News,BBC News,Iceland glacier tourists rescued from blizzard,Thirty nine tourists were stuck for hours in freezing cold but are now safe,Liberal,-2,,,,,,,,,
BBC News,BBC News,Fire-hit Australian states 'face volatile night',Thousands of homes are without power as fires destroyed electricity lines,Liberal,-3,,,,,,,,,
BBC News,BBC News,Eight migrant children drown off Turkey,three adults have also died as their boat sank off Turkeys coast near the Greek island of Chios,Liberal,-2,,,,,,,,,
BBC News,BBC News,Woman wakes alone on board parked plane in Canada,Tiffani Adams says she has experienced re occurring night terrors since the incident,Liberal,-3,,,,,,,,,
BBC News,BBC News,Woman left alone on board parked plane in Canada,Tiffani Adams says she has experienced re occurring night terrors since the incident,Liberal,-3,,,,,,,,,
BBC News,BBC News,NYC crash pilot 'did not know where he was',Tim McCormack five eight died this month after crash landing on a five four floor building in Manhattan,Liberal,-1,,,,,,,,,
BBC News,BBC Sport,Tom Brady: New England Patriots quarterback 'still has more to prove' after play-offs defeat,Tom Brady says he still has more to prove after the New England Patriots were knocked out of the NFL play offs,Liberal,-1,,,,,,,,,
BBC News,BBC News,Running marathon cuts years off 'artery age',Training for a first marathon delivers more elastic arteries and lower blood pressure experts say,Liberal,-2,,,,,,,,,
BBC News,BBC News,Iranian-Americans 'harassed' by US border officials,Travellers say they were questione d for hours on their political views and social media accounts,Liberal,-1,,,,,,,,,
BBC News,BBC News,US airbase in Iraq hit by rockets - reports,Troops have been on alert after the US killed top Iranian commander Qasem Soleimani on Friday,Liberal,-4,,,,,,,,,
BBC News,BBC News,'We will not rest until we get justice',Trudeau says evidence shows plane was hit by a surface to air missile possibly unintentionally,Liberal,-1,,,,,,,,,
BBC News,BBC News,Turkey deploys troops to shore up Libya government,Turkish forces will support the UN backed government in Libya as it battles an insurgency,Liberal,-2,,,,,,,,,
BBC News,BBC News,Execs accuse McDonald's of racial discrimination,two women are taking legal action claiming a pattern and practice of intentional race discrimination ,Liberal,-3,,,,,,,,,
BBC News,BBC News,Ukraine: Missile struck plane underneath cockpit,Ukraines top security official tells the BBC what investigators in Tehran have uncovered,Liberal,-1,,,,,,,,,
BBC News,BBC News,"Unhappy resident, 93, shoots property manager",Unhappy about flooding in his Las Vegas flat an elderly resident guns down the building manager,Liberal,-3,,,,,,,,,
BBC News,BBC News,Human brain seized in mail truck on US-Canada border,US customs officers made an unusual discovery when they carried out a spot check on a Canadian mail truck a human brain inside a jar The brain was found at the Blue Water Bridge crossing between Michigan and the Canadian province of Ontario on one four February US Customs and Border Protection CBP said It was inside a shipment labelled Antique Teaching Specimen The shipment originated in Toronto and was destined for Kenosha Wisconsin Upon opening the shipment CBP officers found the package to contain a human brain specimen inside of a clear glass mason jar without any paperwork or documentation in support of its lawful entry into the United States the agency said in a statement,Liberal,-1,,,,,,,,,
BBC News,BBC News,Democratic debate: Elizabeth Warren's attacks light up social media,US Democratic presidential hopeful Elizabeth Warren is being praised online for her fiery performance in a televised debate on Wednesday Billionaire Michael Bloomberg was appearing in his first presidential debate in the contest and floundered in the face of rivals attacks Ms Warren has fallen behind in the race but her attacks on Mr Bloomberg won her the debate on social media Bernie Sanders is currently the frontrunner to win the nomination The tone for the night was set when Ms Warren a former teacher who has talked about her experiences of discrimination and unequal pay branded Mr Bloomberg a billionaire who calls women fat broads and horse faced lesbians ,Liberal,-3,,,,,,,,,
BBC News,BBC News,Chaos as Guaid√≥ breaks through police cordon,Venezuelas opposition leader breaks through a cordon of troops to enter the National Assembly,Liberal,-2,,,,,,,,,
BBC News,BBC News,Guaid√≥ storms parliament to be sworn in as Speaker,Venezuelas opposition leader breaks through a cordon of troops to enter the National Assembly after being blocked days earlier,Liberal,-2,,,,,,,,,
BBC News,BBC News,Iran denies shooting anti-government protesters,Videos posted online recorded what appeared to be gunfire and showed blood on the streets,Liberal,-2,,,,,,,,,
BBC News,BBC News,China sacks top Hong Kong envoy amid protests,Wang Zhimin will be replaced as director of Beijings liaison office after six months of unrest,Liberal,-2,,,,,,,,,
BBC News,BBC News,India demolishes illegal luxury high-rises,Waterfront high rises are demolished after the Supreme Court ruled they violated environmental laws,Liberal,-3,,,,,,,,,
BBC News,BBC News,Iran rebuffs claims it shot down passenger jet,Western leaders say evidence is growing that an Iranian missile downed the plane near Tehran,Liberal,-1,,,,,,,,,
BBC News,BBC News,‚ÄòWe needed somewhere to tell wild drug stories‚Äô,When two ex addicts started a podcast they had no idea what success and tragedy awaited them,Liberal,-3,,,,,,,,,
BBC News,BBC News,Saving Kangaroo Island's animal casualties,Wildfires have wreaked devastation to wildlife on Australias third largest island,Liberal,-5,,,,,,,,,
BBC News,BBC News,Militants attack Kenyan and US naval base,Witnesses report hearing gunfire and seeing plumes of black smoke coming from an airstrip,Liberal,-2,,,,,,,,,
BBC News,BBC News,Healthy habits 'deliver extra disease-free decade',Women and men can ward off cancer heart problems and diabetes a US study finds,Liberal,-4,,,,,,,,,
BBC News,BBC News,Uganda president begins march through jungle,Yoweri Museven i will spend six days retracing the route he took when he seized power in one nine eight six ,Liberal,-1,,,,,,,,,
BBC News,BBC News,Japanese billionaire seeks partner for Moon trip,Yusaku Maezawa appeals for a life partner to join him on Space Xs maiden Moon voyage in two zero two three ,Liberal,-1,,,,,,,,,
Breitbart News,Robert Kraychik,"Ann Coulter: Our Broken Border, Not Iran, Kills 30K Americans Per Year", Iranians are no threat to America in this country said Ann Coulter stating that three zero zero zero zero Americans are killed every year because of our neighbor to the south ,Conservative,-4,,,,,,,,,
Breitbart News,AFP,"In the US, leftist local prosecutors make inroads", On the national level President Donald Trump is appointing judges by the dozens to positions on US federal courts ensuring a conservative tilt for a generation But on the local level a small group of progressive state prosecutors have been elected and they have big ideas about criminal justice reform,Conservative,-2,,,,,,,,,
Breitbart News,John Carney,Trump Says Iran Deserves A Great Future of Prosperity and Peace | Breitbart, We want you to have a future and a great future one that you deserve President Trump said Wednesday Israel Middle East,Conservative,-1,,,,,,,,,
Breitbart News,Rebecca Mansour,Book to Reveal How Biden Family Siphoned ‚ÄòMillions in Taxpayer Cash‚Äô,A bombshell book will reveal how five members of Joe Bidens family the Biden five siphone d tens of millions of dollars in taxpayer cash and guaranteed loans,Conservative,-2,,,,,,,,,
Breitbart News,Penny Starr,Climate Change Protester: Pipeline Companies Hurt Indigenous People,A climate change protester claims companies operating oil and gas pipelines are not only hurting the environment but indigenous people,Conservative,-2,,,,,,,,,
Breitbart News,AWR Hawkins,Columnist: 'Terrifying' That Parishioners Were Armed in TX Church,A columnist writing at AZCentralcom suggests it was terrifying that parishioner Rs were armed at the church in White Settlement Texas,Conservative,-4,,,,,,,,,
Breitbart News,Neil Munro,Appeals Court Releases $3.6 Billion for Border Wall,A federal appeals court released three six billion in border wall funding Wednesday that had been blocked by a lawsuit,Conservative,-2,,,,,,,,,
Breitbart News,Lucas Nolan,Google AI Wonít Label People ëManí or ëWomaní to ëAvoid Biasí,A Google AI tool used to recognize objects in images will reportedly no longer attach gender labels such as woman or man to people in pictures in order to avoid bias ,Conservative,-2,,,,,,,,,
Breitbart News,Ildefonso Ortiz,WATCH: Cartel Hitmen Record Murder in Mexico near Texas Border,A group of Mexican cartel hitmen used a cell phone to record the action as they carried out an execution in the Ciudad Juarez border region,Conservative,-1,,,,,,,,,
Breitbart News,Victoria Friedman,Majority of Britons Reject Amnesty for Illegal Aliens,A majority of Britons are against amnesty for illegal aliens the poll findings coming after the government suggested such a move,Conservative,-2,,,,,,,,,
Breitbart News,Hannah Bleau,Protester Interrupts Elizabeth Warren: ‚ÄòWhy Are You Siding with Terrorists?‚Äô,A quick guide to the first big film and TV awards ceremony of two zero two zero which takes place on Sunday,Conservative,-1,,,,,,,,,
Breitbart News,Joshua Caplan,Democrat Senators Tell Nancy Pelosi to Stop Holding Up Impeachment,A sonic boom was sent across Essex and the surrounding areas after the Jettwo plane which had left Stansted Airport for Dalaman Turkey had to return to the airport,Conservative,-1,,,,,,,,,
Breitbart News,Dr. Susan Berry,5 Signs Black Americans Are ‚ÄòAwakening‚Äô to Break with Democrat Party,A tremendous awakening is happening in the country as more black Americans are abandoning the Democrat Party and turning to support Trump,Conservative,-2,,,,,,,,,
Breitbart News,John Hayward,U.N.: U.S. Broke International Law by Eliminating Soleimani,A US judge on Monday rejected Michael Avenattis bid to dismiss two of the three counts in an indictment accusing the celebrity lawyer of trying to extort Nike Inc by threatening to reveal its alleged improper payments to college basketball recruits,Conservative,-3,,,,,,,,,
Breitbart News,Katherine Rodriguez,"Winter Storm Blankets U.S., Cancels Thousands of Flights",A winter storm is blanketing parts of the US causing snowfall in Texas and thousands of flights to be canceled at Chicagos airports,Conservative,-2,,,,,,,,,
Breitbart News,Katherine Rodriguez,Monument Mocking Donald Trump Set Ablaze in Slovenia,A wooden monument mocking President Donald Trump in his wifes homeland of Slovenia was set ablaze on Thursday,Conservative,-3,,,,,,,,,
Breitbart News,Joshua Caplan,Man Charged with Impersonating Trump Marine One Security Guard,A†dishonorably discharged Marine allegedly impersonated a security guard for Marine one and bypassed checkpoints according to a report,Conservative,-2,,,,,,,,,
Breitbart News,Lucas Nolan,Report: Big Tech Will Expand Further into Finance in 2020 | Breitbart,According to a recent report the Masters of the Universe in Silicon Valley have plans to further expand into the world of finance in the new year† falling just short of opening their own banks,Conservative,-1,,,,,,,,,
Breitbart News,Jerome Hudson,George Lopez Says Comment About Assassinating Trump for Iran was 'a Joke',Actor comedian George Lopez walked back comments he made Sunday offering to accept a bounty to assassinate President Donald Trump,Conservative,-3,,,,,,,,,
Breitbart News,AWR Hawkins,Anti-Gun Hollywood Steps Up Armed Protection for Golden Globes,Actors and actresses in anti gun Hollywood will be surrounded by armed security on Sunday as they attend the seven seven th annual Golden Globes,Conservative,-2,,,,,,,,,
Breitbart News,Jerome Hudson,Rose McGowan Doubles Down After Apologizing to Iran over Soleimani Airstrike: 'I Want America to Be Better',Actress Rose McGowan defended her tweet in which she apologized on behalf of the US to Iran for disrespecting their flag and people after a US military airstrike killed Gen Qassem Soleimani the countrys top general,Conservative,-4,,,,,,,,,
Breitbart News,Breitbart News,Terrorists Attack Military Base in Kenya Hosting U.S. Soldiers,Al Shabab a Somali terror group linked to al Qaeda attacked a military base in Kenya that houses some American military personnel,Conservative,-3,,,,,,,,,
Breitbart News,Jerome Hudson,Hollywood Erupts After Soleimani Airstrike: 'Hitler Did the Same Thing',Alec Badlwin Debra Messing and Michael Moore led the Hollywood left which rushed to social media with conspiracy theories and rage hours after†the US military airstrike that†killed Qasem Soleimani the head of the Iranian Revolutionary Guard Corps Quds F,Conservative,-4,,,,,,,,,
Breitbart News,Hannah Bleau,'Squad' Accuses Trump of Leading U.S. to Brink of War with Iran,All four far left members of the Squad accused President Trump of leading the United States to the brink of war with Iran,Conservative,-3,,,,,,,,,
Breitbart News,Oliver JJ Lane,Priti Patelís ëEconomically Inactiveí Comments Betray UK Govtís Hostility to Traditional Family,Almost communist comments by the Home Secretary that economically inactive people should be mobilized into the workplace have underlined the actively hostile policy environment for young families created by the government and have angered a vocal group of stay at home mothers,Conservative,-4,,,,,,,,,
Breitbart News,Robert Kraychik,"Gorka: Beijing, Pyongyang, Moscow, Tehran Now Know America‚Äôs Strength",Americas adversaries know there is no worse enemy than the United States under Donald Trumps leadership assessed Sebastian Gorka,Conservative,-3,,,,,,,,,
Breitbart News,Aaron Klein,Revealed: McCabe Pushed to Highlight Trump 'Golden Shower' Rumor in Public Russia Report ‚Äî and Comey Approved,An email proves disgraced ex FBI Director James Comey approved an FBI effort to have the wild golden showers claim,Conservative,-4,,,,,,,,,
Breitbart News,Dr. Susan Berry,‚ÄòAbortion Is Normal‚Äô Exhibit Opens in NYC to Benefit Planned Parenthood,An exhibition titled Abortion Is Normal has opened in New York City to benefit Planned Parenthoods political action efforts,Conservative,-1,,,,,,,,,
Breitbart News,Alana Mastrangelo,Speaker at Soleimani Funeral Crowdsources $80 Million Bounty on Trump,An Iranian who placed an eight zero million bounty on Trumps head is begging for donations from eight zero million Iranians to pitch in to cover the cost,Conservative,-1,,,,,,,,,
Breitbart News,Allum Bokhari,"Facebook Exec Admits He's Triggered by Trump, Breitbart, But Still Opposes Censorship | Breitbart",Andrew Boz Bosworth a Facebook executive close to Mark Zuckerberg urged his company not to tilt the scales against Donald Trump in two zero two zero according to a memo obtained by the†New York Times†Boz also commented on Breitbart News saying every time I read so,Conservative,-2,,,,,,,,,
Breitbart News,Hannah Bleau,Yang Campaign Blasts DNC After Missing Polling Threshold for Iowa Debate,Andrew Yangs campaign blasted the Democratic National Committee DNC after the presidential hopeful failed to meet its polling threshold,Conservative,-3,,,,,,,,,
Breitbart News,Aaron Klein,U.K. Spy Steele Claims John McCain Aide Leaked 'Pee' Dossier to BuzzFeed | Breitbart,Anti Trump dossier author Christopher Steele testified that he was absolutely flabbergasted when BuzzFeed published the dossier after an advisor to late Senator John McCain shared the controversial document with the media outlet purportedly against Steeles,Conservative,-2,,,,,,,,,
Breitbart News,Breitbart News,"Wall Street Boom in 2019: S&P 500, Nasdaq Have Best Year Since 2013",AP Stocks are closing out their best year since two zero one three led by huge gains in technology stocks,Conservative,-1,,,,,,,,,
Breitbart News,Jaeson Jones,Jaeson Jones: Mexico‚Äôs Fight Against Cartels Went Backward During AMLO‚Äôs First Year,As Mexican President AMLO completes his first year in office he has no national security strategy and the failures reach beyond his borders,Conservative,-3,,,,,,,,,
Breitbart News,John Binder,Exclusive: 8 More Tennessee Counties Ready to Rebuke Refugee Inflow,At least eight additional counties across Tennessee are ready to rebuke Gov Bill Lees decision to bring more refugees to the state,Conservative,-2,,,,,,,,,
